NF,VALOR NF,PESO,QTD. BOBINAS,TRANSPORTADOR,MODAL,ORIGEM,DESTINO,UF DEST,CONTÊINER,CUSTO TRANSP.,VLR ADICIONAL,VALOR DO FRETE,ADV,BAF,INFRAEST. PEDAGIO,IMPOSTOS,DATA CARREG
2112024,387289.2,24986.4,45,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TGHU93699492024,15487.87,,15487.87,,,,,2024-06-18
2152024,390000.15,25161.3,44,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU55708722024,14982.73,,14982.73,,,,,2024-06-19
2162024,390525.6,25195.2,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,CAAU66881162024,14983.33,,14983.33,,,,,2024-06-20
2192024,399583.8,25779.6,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU47409322024,15334.52,340.91,14993.61,,,,,2024-06-21
2242024,333836.4,23023.2,51,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1002A,25881.149999999998,140.8,25740.35,,,,,2024-06-25
2252024,360401.85,24855.3,62,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1002C,25830.92,,25830.92,,,,,2024-06-25
2282024,372285.15,24836.9,48,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TCNU7733113 2024,15433.31,,15433.31,,,,,2024-06-26
2272024,398281.8,25695.6,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU61897732024,14992.14,,14992.14,,,,,2024-06-26
2302024,267821.7,24618.6,53,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU26217202024,14843.89,,14843.89,,,,,2024-06-27
2312024,266110.95,25343.9,50,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MSKU99130532024,14841.94,,14841.94,,,,,2024-06-28
2322024,350987.2,25488,56,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,CAAU64524292024,14938.4,,14938.4,,,,,2024-07-02
2332024,307485,25013.2,52,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,HASU47027842024,14888.97,,14888.97,,,,,2024-07-03
2352024,319882.65,22728.9,36,MILLY,Rodoviário,Manaus AM,Carazinho,RS,MSKU02747532024,24000,,24000,,,,,2024-07-04
2362024,363203.5,24932.2,52,MILLY,Rodoviário,Manaus AM,Carazinho,RS,MSKU86617222024,24000,,24000,,,,,2024-07-04
2382024,366220.7,25256.6,53,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU45717502024,14955.7,,14955.7,,,,,2024-07-08
2402024,353098.2,24351.6,56,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TRHU70508102024,15523.54,160,15363.54,,,,,2024-07-10
2412024,374507.45,25828.1,53,MERCOSUL LINE,Cabotagem,Manaus AM,Carazinho,RS,FWRU01124762024,17216.04,533.33,16682.71,,,,,2024-07-11
2422024,363388.85,25061.3,68,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,WRSU61772842024,14952.49,,14952.49,,,,,2024-07-12
2482024,386858.3,24958.6,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU49707922024,14979.16,,14979.16,,,,,2024-07-16
2512024,393019.55,25356.1,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,WRSU46095162024,14986.16,,14986.16,,,,,2024-07-17
2522024,385979.45,24901.9,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU44556842024,14978.16,,14978.16,,,,,2024-07-18
